features,class
"[-4.0097769e+02  1.5298523e+02 -5.7968246e+01  1.8982046e+01
  3.0779394e+01 -3.7898960e+01 -1.5807657e+01 -1.9978733e+01
 -3.9329212e+01 -1.0559771e+01 -2.3729185e+01 -3.5990620e+01
 -5.5821562e+00 -1.3099590e+01 -2.2789284e+01 -5.1973562e+00
 -1.2636620e+01 -1.3784104e+01 -2.5923772e+00 -1.2684997e+01
 -9.1336498e+00 -2.5811987e+00 -1.6671137e+01 -1.0797709e+01
 -1.0426912e+00 -1.0495890e+01 -6.6913881e+00 -2.6741159e+00
 -8.0585890e+00 -5.1763809e-01 -5.3224847e-02 -7.0282145e+00
 -2.6676157e+00 -7.7492976e+00 -1.3675252e+01 -4.0470066e+00
 -3.9155166e+00 -7.3556948e+00 -1.5006202e-01  1.2948103e+00]",Number_0
"[-3.5796530e+02  1.4680508e+02 -6.0819809e+01  1.9912600e+01
  3.2403629e+01 -4.2200890e+01 -1.9845798e+01 -1.7670242e+01
 -3.9588131e+01 -1.2870195e+01 -2.1691099e+01 -3.5972111e+01
 -6.2979875e+00 -8.5694418e+00 -2.0442373e+01 -5.4242949e+00
 -9.1510038e+00 -1.1377425e+01 -2.3875384e+00 -1.1373414e+01
 -9.4465446e+00 -2.5205293e+00 -1.4677069e+01 -1.1569529e+01
 -2.4197137e+00 -1.0148139e+01 -7.3017430e+00 -1.5816376e+00
 -5.2821484e+00 -2.4329280e-02  1.0147138e+00 -5.1917529e+00
 -3.4391851e+00 -7.6309924e+00 -1.1817909e+01 -4.9654479e+00
 -7.5306172e+00 -1.2183959e+01 -5.5101933e+00 -3.0201690e+00]",Number_0
"[-376.25897    146.14905    -63.58635     24.18242     27.898375
  -43.067863   -10.611273   -22.905981   -49.421986   -10.465634
  -24.67958    -43.032356    -4.9804688   -9.179482   -23.215881
   -4.4458823  -10.394233   -11.914416    -0.4102428  -13.348833
  -10.173271     1.3476282  -13.22341    -12.23455     -1.9553033
   -9.372875    -6.765092    -2.3319602   -6.543052    -1.5429975
   -3.1125455   -8.922841    -4.0657244   -8.373287   -12.23031
   -4.0511355   -7.9857874  -12.774133    -4.955316    -3.0129695]",Number_0
"[-3.9970129e+02  1.5720616e+02 -6.1420441e+01  2.6551081e+01
  3.1116442e+01 -4.3639404e+01 -1.0087513e+01 -1.6315231e+01
 -4.4281330e+01 -1.2257114e+01 -2.5584150e+01 -3.9382549e+01
 -5.6929383e+00 -1.6073387e+01 -2.6120596e+01 -1.3896761e+00
 -9.7227716e+00 -1.5470844e+01 -3.4487536e+00 -1.5536984e+01
 -1.4457078e+01 -4.0842357e+00 -1.5718602e+01 -1.1838811e+01
 -3.0267150e+00 -1.1874702e+01 -7.5832686e+00 -3.3040953e+00
 -8.7388601e+00 -1.2163044e+00 -8.2583648e-01 -7.3322043e+00
 -7.3233046e-02 -1.7774773e+00 -8.9762182e+00 -3.8630588e+00
 -5.0749817e+00 -7.3679099e+00 -9.5152062e-01 -1.4698639e+00]",Number_0
"[-347.49884     152.9885      -73.45235      22.957195     28.040323
  -46.599693     -9.030906    -18.926722    -44.659508     -6.3245244
  -24.695469    -39.611168     -1.1281669   -15.464877    -27.113396
    0.42081544  -10.960067    -15.504523      1.0327089   -14.904721
  -16.997492     -4.599855    -15.835384    -10.880599      0.64424634
   -5.973077     -1.2904861    -2.4633827   -12.680996     -1.7123872
    1.7703896    -5.814614      1.3483688    -0.910007     -9.562159
   -5.6076436    -8.3429      -10.188348     -4.235455     -7.692056  ]",Number_0
"[-347.60648    143.59941    -84.36023     27.772285    36.5727
  -43.803116    -6.5008297  -19.735352   -48.644516    -6.218408
  -22.603384   -37.6594       3.1741774  -11.69394    -25.636395
    1.8112667  -10.874656   -17.934538    -1.164029   -14.328891
  -15.631263    -6.4502697  -19.420052   -13.604165    -4.768072
  -13.588068    -4.45438     -1.6010438  -12.014581    -0.7596306
    2.4404795   -7.756141    -1.7261297   -2.1547537   -9.191065
   -6.4838667  -10.999389   -12.074658    -4.699499    -5.8691926]",Number_0
"[-371.9258     149.25485    -64.11327     24.750483    24.41148
  -47.0006      -5.291543   -14.489414   -46.24436     -8.801686
  -22.265125   -41.145687    -4.026154   -12.4371805  -27.955944
   -1.713606    -4.9965463  -14.802457    -5.3575277  -11.836048
  -10.473441    -5.695322   -16.69355     -9.760781    -3.783306
  -14.728854    -7.0235124   -2.0333347  -11.964436    -5.874998
   -3.2048988  -10.071476    -3.509724    -1.6847686   -4.7709064
    2.7285314    4.689243     4.702331     9.343362     5.6106944]",Number_0
"[-3.6339734e+02  1.4778957e+02 -7.8895332e+01  3.0633673e+01
  3.0352160e+01 -5.1222267e+01 -6.0070601e+00 -1.5707357e+01
 -4.5036671e+01 -2.0647242e+00 -2.1018679e+01 -4.1543625e+01
 -1.4680259e+00 -1.2656417e+01 -2.6595770e+01 -9.9584299e-01
 -1.0481610e+01 -1.4649883e+01  1.3185874e-01 -1.3107407e+01
 -1.2061646e+01 -3.4876649e+00 -1.7434324e+01 -1.1008225e+01
 -3.2213447e+00 -1.4028510e+01 -5.2303867e+00 -2.2079248e+00
 -1.4397335e+01 -5.3546810e+00 -1.4799271e+00 -1.1284280e+01
 -6.8612232e+00 -4.5965075e+00 -6.7979999e+00 -3.9063592e+00
 -7.0942769e+00 -2.4138689e+00  8.7644014e+00  9.1959066e+00]",Number_0
"[-3.5252496e+02  1.4379462e+02 -8.5369698e+01  2.9279835e+01
  3.2184837e+01 -4.8841103e+01 -3.1616976e+00 -1.5867804e+01
 -4.8538345e+01 -6.2131577e+00 -2.5519474e+01 -4.4624462e+01
 -1.7490103e+00 -1.1750090e+01 -2.4240314e+01  2.9911966e+00
 -7.7439356e+00 -1.4726175e+01 -1.3132875e+00 -1.4484897e+01
 -1.3983539e+01 -7.2666006e+00 -2.2208900e+01 -1.3555455e+01
 -1.7783213e+00 -1.1843184e+01 -5.8404608e+00 -2.6369658e+00
 -1.1802131e+01 -3.7392106e+00 -1.5169665e+00 -7.7574792e+00
 -2.3043158e+00 -5.5506563e+00 -9.1920195e+00 -1.3991129e+00
 -2.8560395e+00 -2.2679767e-01  1.0168427e+01  8.1221066e+00]",Number_0
"[-342.48795     137.76028     -74.386024     29.754255     34.42696
  -48.272934    -11.649929    -17.24285     -48.151417     -9.515261
  -20.977846    -41.333805     -4.516577    -10.64999     -25.146032
   -0.7931846    -7.263621    -14.234736     -0.36204702  -13.269808
  -16.546242     -5.054639    -15.820922    -12.215984      0.9836179
   -7.7586117    -7.1438527    -1.6846685    -8.189286     -3.0811324
    0.914914     -5.2580504    -2.27317      -3.2031527    -8.935441
   -6.069451     -7.8095202    -8.155431     -0.9280774    -2.2717896 ]",Number_0
"[-349.94836     150.21019     -79.95467      22.840284     29.421295
  -49.635452     -8.396436    -15.3886385   -46.991333     -8.124991
  -21.766294    -40.030205     -2.2099726   -12.697655    -27.137747
   -1.2664353    -9.689403    -15.914556     -0.4476395   -12.593425
  -13.630325     -2.821788    -15.384578    -12.537155     -3.150359
  -11.311989     -4.7587914    -0.73632115  -10.244129     -2.1954076
    1.1759391    -6.886026     -1.4853039    -2.9607115   -10.164041
   -5.355844     -7.7629604   -10.927075     -4.694117     -5.0737185 ]",Number_0
"[-3.5666782e+02  1.6735757e+02 -9.8864578e+01  2.7061701e+01
  3.4686455e+01 -5.3628788e+01 -4.2535000e+00 -1.7978859e+01
 -5.1826187e+01 -1.0161300e+00 -2.1198078e+01 -4.5614658e+01
  6.8083055e-02 -1.1506925e+01 -2.6329695e+01  2.9760695e+00
 -1.1005474e+01 -1.7797255e+01  1.5130316e+00 -1.4750101e+01
 -1.7132956e+01 -3.6128433e+00 -1.5451942e+01 -1.0051380e+01
 -1.9555571e+00 -1.4479197e+01 -6.0694714e+00 -9.7231889e-01
 -1.3237210e+01 -3.9246473e+00  1.8545969e+00 -7.7945790e+00
 -5.1649733e+00 -5.5405278e+00 -7.6790142e+00 -2.0772350e+00
 -8.4356556e+00 -1.1195144e+01 -1.7130710e+00 -1.0952668e+00]",Number_0
"[-345.50928     167.29607     -91.652405     29.170605     32.11866
  -55.20993      -5.9706655   -15.204718    -50.442787     -6.101983
  -22.525341    -42.567684     -1.8996145   -15.470192    -30.546986
   -2.7360516   -11.0953665   -15.22622      -1.6203825   -17.270601
  -16.892574     -6.99173     -18.362629     -9.394632     -1.5705532
  -13.2592535    -5.1455326    -2.000904    -11.341967     -1.7587065
   -0.51488197   -7.1794686     0.610762     -3.4401155   -10.611537
   -4.9349146    -8.48477      -8.505359      1.4087999     3.025489  ]",Number_0
"[-364.7762     149.35687    -70.02953     24.907413    29.592457
  -46.70091     -9.251708   -17.997812   -49.43185    -10.303577
  -22.100887   -42.8782      -4.414022    -7.2848573  -24.156477
   -4.3005056   -7.165989   -12.90658     -5.197323   -14.943984
  -10.891767    -2.5235803  -15.697155   -11.268974    -2.716191
  -12.301048    -7.7003117   -2.4277394   -7.980972    -2.3080914
   -2.9373217   -9.396327    -5.0430818   -9.903223   -13.752021
   -3.860361    -5.735425    -8.872313    -0.7556584    0.6194184]",Number_0
"[-3.2737598e+02  1.4788846e+02 -9.3079834e+01  2.8210527e+01
  3.1687748e+01 -5.6025284e+01 -6.3771477e+00 -1.5216053e+01
 -5.2313629e+01 -1.0174236e+01 -2.4996969e+01 -4.1962036e+01
  1.0977342e+00 -1.0278952e+01 -2.3812660e+01  3.0440719e+00
 -9.5984087e+00 -1.6898064e+01 -2.7955675e+00 -1.6919693e+01
 -1.3581525e+01 -2.2161224e+00 -1.8455730e+01 -1.3003644e+01
 -3.1055512e+00 -1.5822237e+01 -8.8924599e+00 -6.4812720e-01
 -7.1983719e+00  1.2528032e-01  1.0595489e+00 -5.3191113e+00
  6.8901742e-01 -3.9861577e+00 -9.5854874e+00 -2.9373584e+00
 -8.6337681e+00 -1.1516982e+01 -2.8936925e+00 -4.3593068e+00]",Number_0
"[-3.6692203e+02  1.7375032e+02 -8.5852486e+01  1.1404126e+01
  1.8117682e+01 -4.4963322e+01  1.6306885e-01 -1.3481270e+01
 -4.6348251e+01 -7.7044206e+00 -2.0851280e+01 -2.9811804e+01
  5.5517592e+00 -1.3791809e+01 -2.1682058e+01  6.4255958e+00
 -1.4784370e+01 -2.4785492e+01 -2.9024327e+00 -1.3478870e+01
 -1.6732796e+01 -4.3203511e+00 -1.1296725e+01 -8.8184052e+00
 -4.7036347e+00 -1.1011556e+01 -2.8099034e+00 -1.8602862e+00
 -8.1463032e+00  1.6831087e-01 -4.4714804e+00 -1.2464076e+01
 -4.3658071e+00 -9.2715397e+00 -1.4047973e+01 -4.8820472e+00
 -7.3178334e+00 -2.9120264e+00  1.5840396e+01  2.2231865e+01]",Number_0
"[-3.5024237e+02  1.3785837e+02 -5.9876572e+01  2.3557562e+01
  2.7095840e+01 -4.2467140e+01 -1.5567465e+01 -2.1829287e+01
 -4.1611275e+01 -1.1984458e+01 -2.7545805e+01 -3.5642330e+01
  4.4734687e-02 -1.2790393e+01 -2.3392912e+01  2.2695642e+00
 -6.3861241e+00 -1.3225853e+01  3.2123193e-01 -1.0564770e+01
 -1.3184431e+01 -4.5856204e+00 -1.3293772e+01 -9.0730820e+00
 -1.4416625e+00 -7.9846516e+00 -1.0446483e+00  1.5648737e+00
 -8.0595131e+00 -1.0648407e+00  2.0198166e+00 -5.5906744e+00
 -1.6079798e+00 -3.3387928e+00 -1.0562030e+01 -7.5798445e+00
 -9.8590431e+00 -1.2124728e+01 -6.5148101e+00 -6.7173023e+00]",Number_0
"[-345.4742     150.35399    -81.733315    25.045847    36.18651
  -45.871788   -11.7774     -17.990507   -44.599842    -9.991776
  -30.696314   -46.26392     -2.870813   -14.101216   -28.572376
    1.9613203   -7.1649475  -18.474108    -1.8998344  -11.774595
  -14.24821     -2.6532817  -13.910772   -11.204893    -2.1288285
  -15.0448     -11.556907    -2.0600955   -9.669367    -4.721984
    1.3174887   -5.8178973   -4.4621115   -3.8539066   -7.114171
   -2.6043305   -2.0625033    1.1152246   10.92055      9.086687 ]",Number_0
"[-3.54538239e+02  1.46329544e+02 -6.82441406e+01  2.15250187e+01
  2.88106327e+01 -4.24494934e+01 -1.03449764e+01 -1.81169453e+01
 -4.37452736e+01 -1.04958820e+01 -2.50207348e+01 -3.86969757e+01
 -5.66012323e-01 -8.54947853e+00 -2.29692307e+01  2.96854764e-01
 -5.75394630e+00 -1.33896885e+01 -1.39261687e+00 -9.89369297e+00
 -1.16503611e+01 -7.11866474e+00 -1.84234276e+01 -1.16350012e+01
 -2.29625225e+00 -1.09577532e+01 -4.17275381e+00  2.36433077e+00
 -4.65604687e+00  7.01254487e-01  5.30405343e-01 -7.72918081e+00
 -1.65281940e+00 -2.62446928e+00 -1.02128544e+01 -6.65622187e+00
 -9.34032440e+00 -1.22456036e+01 -5.68820095e+00 -6.32537270e+00]",Number_0
"[-3.4466885e+02  1.5603587e+02 -6.4383591e+01  2.5684090e+01
  3.0352587e+01 -4.2032497e+01 -1.1875314e+01 -1.9038483e+01
 -4.4249947e+01 -8.8010893e+00 -2.1617393e+01 -3.5482430e+01
  8.9159817e-01 -7.8946228e+00 -2.1504734e+01  1.1959590e+00
 -6.3087401e+00 -1.1809094e+01  3.6931734e+00 -5.1452107e+00
 -8.9362936e+00 -4.8161869e+00 -1.6731394e+01 -1.1138017e+01
 -1.6224655e+00 -9.2105179e+00 -1.7689805e+00  4.9550557e+00
 -3.0940659e+00  3.2089564e-01  1.2625793e+00 -3.5883260e+00
  1.5162697e+00 -2.4194236e+00 -8.4550333e+00 -3.6064730e+00
 -9.0491734e+00 -1.3183187e+01 -6.1289506e+00 -8.2277746e+00]",Number_0
"[-3.57373169e+02  1.33943298e+02 -6.61233826e+01  2.11651440e+01
  3.38858147e+01 -3.37150917e+01 -1.25155754e+01 -2.39759007e+01
 -4.26942902e+01 -1.03267279e+01 -2.87856140e+01 -3.83678322e+01
  2.62840939e+00 -7.44785643e+00 -2.23290539e+01  2.02135697e-01
 -6.69715166e+00 -1.25256424e+01 -7.50823557e-01 -1.10213852e+01
 -1.04493294e+01 -3.00507236e+00 -1.53643780e+01 -9.70157242e+00
 -3.03765774e-01 -1.25075655e+01 -1.10151157e+01 -4.88780832e+00
 -1.04161339e+01 -5.28041267e+00 -2.00303173e+00 -7.29166842e+00
 -5.20588017e+00 -6.30619049e+00 -8.75574398e+00 -5.20405054e+00
 -4.83713055e+00  1.93910599e+00  1.12236929e+01  8.82733536e+00]",Number_0
"[-381.44016     154.75267     -68.970695     18.044176     30.947706
  -35.643475    -12.939711    -24.053333    -45.01905      -8.571207
  -22.235933    -32.613243      3.583345    -11.239152    -25.034132
    3.101855     -4.4299307   -13.483938      1.9043783    -6.604438
  -11.519334     -5.9725194   -14.180379     -6.665963      1.3788689
   -9.695793     -4.549142      2.373219     -5.001971     -0.73013675
    1.0787333    -6.106885     -4.2723327    -6.530398     -9.889366
   -5.7635655    -9.546037    -10.3665495    -5.3661904    -9.063586  ]",Number_0
"[-3.6154068e+02  1.5896440e+02 -9.7055435e+01  3.4112217e+01
  4.0490181e+01 -4.9273182e+01 -1.0309183e+01 -2.3010992e+01
 -4.9553398e+01 -9.2890316e-01 -2.3022997e+01 -4.0335464e+01
  7.3322048e+00 -8.1347418e+00 -2.6033079e+01  3.2076614e+00
 -7.8595839e+00 -1.5647221e+01  3.0229680e-02 -1.2618639e+01
 -1.1230036e+01 -2.5472250e+00 -1.8193926e+01 -1.0262242e+01
  1.1867160e+00 -1.1798354e+01 -7.2488418e+00 -1.6373041e+00
 -8.8806801e+00 -1.7123975e+00 -1.6051083e+00 -8.9444017e+00
 -3.3379893e+00 -7.3391080e+00 -1.3475835e+01 -8.8492002e+00
 -1.2170602e+01 -1.0717165e+01 -3.6609445e+00 -4.9006343e+00]",Number_0
"[-342.14917     158.01514     -97.453926     28.252941     38.310104
  -49.467953    -10.77117     -21.219109    -49.54056      -6.293718
  -25.066166    -40.650772      3.1395051   -10.086383    -23.470253
    4.952121     -6.0727825   -11.620104      3.3345995   -11.159367
  -10.596737     -3.0983012   -20.165203    -12.915279     -1.1657691
  -12.731621     -6.087391      0.7504923    -7.1636853    -0.92881006
   -0.51583993   -7.6612883    -3.0388193    -7.4496846   -12.034882
   -5.9905043   -11.937859    -14.592799     -7.5073533    -9.314763  ]",Number_0
"[-3.5739377e+02  1.4878261e+02 -6.7043221e+01  2.2794611e+01
  2.7789957e+01 -4.2946167e+01 -9.4304190e+00 -2.1850061e+01
 -4.7302784e+01 -9.1740723e+00 -2.6767151e+01 -4.2257343e+01
 -2.8308472e-01 -8.3386860e+00 -2.3506554e+01  7.3154384e-01
 -5.9667516e+00 -1.4537842e+01 -4.3535256e+00 -1.3116329e+01
 -1.0582124e+01 -3.9593899e+00 -1.7251333e+01 -1.0578503e+01
  1.1821830e-01 -9.2378969e+00 -5.7390008e+00 -8.8814086e-01
 -5.4713416e+00 -4.4962112e-02 -1.8672854e+00 -7.8814559e+00
 -2.8155050e+00 -7.7246075e+00 -1.2790032e+01 -6.1545625e+00
 -8.9716091e+00 -9.6288652e+00 -2.5763681e+00 -5.8775411e+00]",Number_0
"[-3.8349741e+02  1.5952534e+02 -7.5286781e+01  1.9783815e+01
  3.2262562e+01 -4.2932076e+01 -1.1895690e+01 -2.0263866e+01
 -4.3617653e+01 -8.6661587e+00 -2.7932909e+01 -3.9079533e+01
  2.5785155e+00 -1.3166307e+01 -2.8750391e+01 -1.9450287e+00
 -1.3479683e+01 -1.9487131e+01 -2.2526832e-01 -1.3084449e+01
 -1.5554364e+01 -1.6499634e+00 -1.3194503e+01 -1.2842155e+01
 -3.1114612e+00 -1.1113485e+01 -7.0344629e+00 -1.5627289e+00
 -9.1988430e+00 -4.8335662e+00 -2.3939345e+00 -8.1360464e+00
 -5.0249019e+00 -6.0064545e+00 -8.0586901e+00 -5.8350391e+00
 -1.2685819e+01 -1.0124218e+01  3.7632320e+00  7.7955732e+00]",Number_0
"[-3.3435867e+02  1.7185408e+02 -7.9058952e+01  1.9341139e+01
  2.8516172e+01 -4.0904388e+01 -1.0022965e+01 -3.1276388e+01
 -5.5239601e+01 -7.9281392e+00 -2.8368189e+01 -4.7342224e+01
 -4.6808248e+00 -1.2502997e+01 -2.5275261e+01 -1.7152314e+00
 -8.7119951e+00 -1.0529732e+01  1.8188041e-01 -1.2828118e+01
 -8.9217119e+00 -3.9638276e+00 -1.8385998e+01 -8.3223772e+00
 -3.3962636e+00 -1.7157192e+01 -5.6642790e+00 -3.7495014e-01
 -1.0726765e+01  4.8147818e-01  5.7005644e+00 -8.1925899e-01
  6.1131234e+00  7.1322241e+00  3.8594756e+00  5.6683064e+00
 -7.2815716e-01 -7.4660623e-01  3.5950184e+00 -2.4373031e+00]",Number_0
"[-3.25160248e+02  1.43679642e+02 -7.57208939e+01  2.07086239e+01
  3.34035492e+01 -3.29939461e+01 -9.88493824e+00 -2.81789589e+01
 -4.87335701e+01 -7.02603006e+00 -2.58363476e+01 -4.12622375e+01
 -8.81195247e-01 -1.05853891e+01 -2.44108124e+01 -9.25058067e-01
 -8.88233280e+00 -1.23305988e+01  1.25141728e+00 -1.16441069e+01
 -9.25983047e+00  2.20981956e+00 -1.13979769e+01 -7.84554958e+00
 -1.07021654e+00 -1.62006760e+01 -1.16096296e+01 -2.35977125e+00
 -1.06758099e+01 -6.06090164e+00 -1.23537995e-01 -5.39321375e+00
 -4.50503683e+00 -6.04853392e+00 -6.38547325e+00  1.04430854e+00
 -2.45168030e-01  1.61428738e+00  1.08571482e+01  8.35435200e+00]",Number_0
"[-3.3678015e+02  1.5477838e+02 -8.1424805e+01  2.8209507e+01
  3.7285786e+01 -4.6452267e+01 -1.1926029e+01 -2.5349121e+01
 -5.3584373e+01 -9.6674356e+00 -3.0416731e+01 -5.0481400e+01
 -1.1488824e+00 -9.8715096e+00 -3.2185520e+01 -3.8217914e+00
 -5.4134002e+00 -1.3802885e+01 -1.5903872e+00 -9.5904427e+00
 -7.0862999e+00  6.7766771e-02 -1.4701457e+01 -8.3439569e+00
 -8.8379169e-01 -1.7008995e+01 -1.0766994e+01 -1.0949445e+00
 -1.0247303e+01 -3.4243078e+00  2.1039746e+00 -6.3471417e+00
 -2.8772082e+00 -1.5783920e+00 -6.7269077e+00 -4.3839931e+00
 -5.0285058e+00 -1.6034280e+00  6.6035557e+00  4.9252276e+00]",Number_0
"[-3.4283112e+02  1.4948376e+02 -8.2240921e+01  2.6610815e+01
  3.3230885e+01 -4.7014961e+01 -9.4525557e+00 -2.4889965e+01
 -5.1796318e+01 -3.6502457e+00 -2.4472412e+01 -4.7007702e+01
  4.7750941e-01 -8.4087734e+00 -2.8958035e+01 -1.0154678e+00
 -4.1126280e+00 -1.0710335e+01  1.7088312e+00 -9.9866791e+00
 -8.5783081e+00  2.4263486e-01 -1.5054469e+01 -1.0544055e+01
 -2.6192403e+00 -1.6347939e+01 -8.8976393e+00  9.5080948e-01
 -8.0804958e+00 -3.1740932e+00  6.3830853e-01 -7.2864037e+00
 -6.2629061e+00 -7.7226310e+00 -8.7265253e+00 -3.2427680e+00
 -8.0911102e+00 -7.4992890e+00  1.9823459e+00  5.3186005e-01]",Number_0
